Names in FOnlineServer
Address   Section   Type        Name                                     Comments
0040CEF0  .text     Debug data  ?__stl_new@stlp_std@@YAPAXI@Z
0040CF00  .text     Debug data  ?__stl_delete@stlp_std@@YAXPAX@Z
0040CF10  .text     Debug data  ?__ucopy_trivial@priv@stlp_std@@YAPAXPBX>
0040CF40  .text     Debug data  ?uninitialized_copy@stlp_std@@YAPADPBD0P>
0040CFB0  .text     Debug data  ??0?$allocator@V?$basic_string@DV?$char_>
0040CFC0  .text     Debug data  ??1?$allocator@V?$basic_string@DV?$char_>
0040CFD0  .text     Debug data  ?size@?$vector@VNpcBagItem@@V?$allocator>
0040CFE0  .text     Debug data  ??0?$allocator@VNpcBagItem@@@stlp_std@@Q>
0040CFF0  .text     Debug data  ??1?$allocator@VNpcBagItem@@@stlp_std@@Q>
0040D000  .text     Debug data  ??0?$allocator@V?$vector@V?$vector@VNpcB>
0040D010  .text     Debug data  ??1?$allocator@V?$vector@V?$vector@VNpcB>
0040D020  .text     Debug data  ?size@?$vector@V?$basic_string@DV?$char_>
0040D070  .text     Debug data  ?size@?$vector@V?$vector@VNpcBagItem@@V?>
0040D090  .text     Debug data  ??0?$allocator@V?$vector@VNpcBagItem@@V?>
0040D0A0  .text     Debug data  ??1?$allocator@V?$vector@VNpcBagItem@@V?>
0040D0B0  .text     Debug data  ??1?$binary_function@V?$basic_string@DV?>
0040D0D0  .text     Debug data  ?allocate@__node_alloc@stlp_std@@SAPAXAA>
0040D110  .text     Debug data  ?deallocate@__node_alloc@stlp_std@@SAXPA>
0040D140  .text     Debug data  ??0_Rb_tree_base_iterator@priv@stlp_std@>
0040D150  .text     Debug data  ?begin@?$vector@VNpcBagItem@@V?$allocato>
0040D160  .text     Debug data  ?begin@?$vector@VNpcBagItem@@V?$allocato>
0040D170  .text     Debug data  ?end@?$vector@VNpcBagItem@@V?$allocator@>
0040D180  .text     Debug data  ?compare@?$char_traits@D@stlp_std@@SAHPB>
0040D200  .text     Debug data  ?length@?$char_traits@D@stlp_std@@SAIPBD>
0040D250  .text     Debug data
0040D260  .text     Debug data  ?begin@?$vector@V?$vector@VNpcBagItem@@V>
0040D280  .text     Debug data  ??1?$_STLP_alloc_proxy@PAVNpcBagItem@@V1>
0040D2A0  .text     Debug data  ??1?$_STLP_alloc_proxy@PAV?$basic_string>
0040D2B0  .text     Debug data  ??1?$_STLP_alloc_proxy@PAV?$vector@VNpcB>
0040D300  .text     Debug data  ?deallocate@?$allocator@V?$basic_string@>
0040D340  .text     Debug data  ?end@?$vector@VNpcBagItem@@V?$allocator@>
0040D350  .text     Debug data  ??0?$allocator@VNpcBagItem@@@stlp_std@@Q>
0040D360  .text     Debug data  ?deallocate@?$allocator@VNpcBagItem@@@st>
0040D3F0  .text     Debug data
0040D430  .text     Debug data
0040D450  .text     Debug data  ?begin@?$vector@V?$vector@VNpcBagItem@@V>
0040D460  .text     Debug data  ?end@?$vector@V?$vector@VNpcBagItem@@V?$>
0040D470  .text     Debug data  ?end@?$vector@V?$vector@VNpcBagItem@@V?$>
0040D480  .text     Debug data  ?deallocate@?$allocator@V?$vector@VNpcBa>
0040D4D0  .text     Debug data  ??0?$reverse_iterator@PAVNpcBagItem@@@st>
0040D4F0  .text     Debug data  ??0?$reverse_iterator@PAV?$basic_string@>
0040D500  .text     Debug data  ??0?$reverse_iterator@PAV?$vector@VNpcBa>
0040D520  .text     Debug data  ??0?$allocator@V?$basic_string@DV?$char_>
0040D570  .text     Debug data  ??0?$allocator@V?$vector@V?$vector@VNpcB>
0040D580  .text     Debug data  ??0?$allocator@V?$vector@VNpcBagItem@@V?>
0040D5A0  .text     Debug data  ?max_size@?$allocator@VNpcBagItem@@@stlp>
0040D5B0  .text     Debug data  ?max_size@?$allocator@V?$vector@VNpcBagI>
0040D5D0  .text     Debug data  ?_M_set@?$vector@VNpcBagItem@@V?$allocat>
0040D6C0  .text     Debug data  ??0?$reverse_iterator@PAVNpcBagItem@@@st>
0040D6D0  .text     Debug data  ??0?$reverse_iterator@PAV?$vector@V?$vec>
0040D6E0  .text     Debug data  ??0?$reverse_iterator@PAV?$basic_string@>
0040D6F0  .text     Debug data  ??0?$reverse_iterator@PAV?$vector@VNpcBa>
0040D720  .text     Debug data  ?_Answer@?$_IsPOD@VNpcBagItem@@@stlp_std>
0040D730  .text     Debug data  ?_Answer@?$_IsPOD@V?$vector@V?$vector@VN>
0040D750  .text     Debug data  ?_M_Start@?$_String_base@DV?$allocator@D>
0040D760  .text     Debug data  ?max_size@?$vector@VNpcBagItem@@V?$alloc>
0040D7A0  .text     Debug data  ?_M_Finish@?$_String_base@DV?$allocator@>
0040D7D0  .text     Debug data  ?max_size@?$allocator@V?$vector@V?$vecto>
0040D7E0  .text     Debug data
0040D880  .text     Debug data
0040D8A0  .text     Debug data
0040D8C0  .text     Debug data  ??$__fill_n@PAVNpcBagItem@@IV1@@priv@stl>
0040D8F0  .text     Debug data  ??$_Is_POD@VNpcBagItem@@@stlp_std@@YA?AU>
0040D900  .text     Debug data  ??$_Copy_Construct_aux@VNpcBagItem@@@stl>
0040D930  .text     Debug data
0040D960  .text     Debug data  ?_M_throw_length_error@?$_Vector_base@VN>
0040D980  .text     Debug data  ?_M_Start@?$_String_base@DV?$allocator@D>
0040D990  .text     Debug data  ??0?$allocator@D@stlp_std@@QAE@XZ
0040D9A0  .text     Debug data  ??1?$allocator@D@stlp_std@@QAE@XZ
0040D9B0  .text     Debug data  ?begin@?$basic_string@DV?$char_traits@D@>
0040D9E0  .text     Debug data  ?_M_using_static_buf@?$_String_base@DV?$>
0040D9F0  .text     Debug data  ?_M_Finish@?$_String_base@DV?$allocator@>
0040DA00  .text     Debug data  ?deallocate@?$allocator@D@stlp_std@@QAEX>
0040DA40  .text     Debug data
0040DA60  .text     Debug data  ??0?$allocator@D@stlp_std@@QAE@ABV01@@Z
0040DA70  .text     Debug data
0040DA90  .text     Debug data  ?_Answer@?$_IsPOD@V?$basic_string@DV?$ch>
0040DAA0  .text     Debug data  ?_Answer@?$_IsPOD@V?$vector@VNpcBagItem@>
0040DAB0  .text     Debug data  ??$min@I@stlp_std@@YAABIABI0@Z
0040DAD0  .text     Debug data  ??$min@H@stlp_std@@YAABHABH0@Z
0040DAF0  .text     Debug data  ?max_size@?$vector@V?$vector@VNpcBagItem>
0040DBA0  .text     Debug data  ?max_size@?$allocator@V?$basic_string@DV>
0040DBB0  .text     Debug data  ?_M_allocate@?$allocator@V?$basic_string>
0040DC70  .text     Debug data  ?_M_throw_length_error@?$_String_base@DV>
0040DC80  .text     Debug data  ??$__destroy_range_aux@V?$reverse_iterat>
0040DC90  .text     Debug data  ?_Answer@?$_IsPOD@D@stlp_std@@SA?AU__tru>
0040DCA0  .text     Debug data  ?max_size@?$allocator@D@stlp_std@@QBEIXZ
0040DCC0  .text     Debug data  ??$_Is_POD@V?$basic_string@DV?$char_trai>
0040DCD0  .text     Debug data  ??$_Is_POD@V?$vector@VNpcBagItem@@V?$all>
0040DCE0  .text     Debug data  ??$__destroy_aux@V?$basic_string@DV?$cha>
0040DCF0  .text     Debug data  ??$_Is_POD@D@stlp_std@@YA?AU?$_IsPOD@D@0>
0040DD00  .text     Debug data  ??$_Construct_aux@D@stlp_std@@YAXPADABU_>
0040DD10  .text     Debug data  ??$__destroy_aux@V?$vector@VNpcBagItem@@>
0040DD30  .text     Debug data  ?_M_throw_length_error@?$_Vector_base@V?>
0040DD40  .text     Debug data  ?_M_throw_length_error@?$_Vector_base@V?>
0040DD50  .text     Debug data
0040DD60  .text     Debug data
0040DDA0  .text     Debug data
0040DDB0  .text     Debug data  ??E?$reverse_iterator@PAV?$vector@V?$vec>
0040DDC0  .text     Debug data  ??D?$reverse_iterator@PAV?$basic_string@>
